id,text_raw,text_norm,label_silver,cs_ratio,label_gold
atlaset_35221,"بناءً على الجملة ""واحد الفرقة ديال الروك فيها مغنية كتغني فالزنقة وكاين واحد الڤان بيضا فالخلفية."" واش صحيح بلي ""واحد المرا كتغني للناس.""؟
ما يمكنش نعرفو","بناء علي الجمله ""واحد الفرقه ديال الروك فيها مغنيه كتغني فالزنقه وكاين واحد الڤان بيضا فالخلفيه."" واش صحيح بلي ""واحد المرا كتغني للناس.""؟ ما يمكنش نعرفو",AR_DAR,0.0,AR_DAR
fren_768,Lasted about a week before it broke I guess you get what you pay for,lasted about a week before it broke i guess you get what you pay for,EN,0.0,EN
atlaset_69297,النزلاء اللي قامو بالإقامة في فندق ماما الصويري عموما كيعطيو تجارب إيجابية، وكيشيرو للموقع المزيان ديالو، والغرف المريحة، والموظفين المرحبين. الفندق حصل على تقييم {score if score is not None else 'N/A'} على أساس 1837.0 تقييم، وهذا كيبين الرضا العام للنزلاء.,النزلاء اللي قامو بالاقامه في فندق ماما الصويري عموما كيعطيو تجارب ايجابيه، وكيشيرو للموقع المزيان ديالو، والغرف المريحه، والموظفين المرحبين. الفندق حصل علي تقييم {score if score is not none else 'n/a'} علي اساس 1837.0 تقييم، وهذا كيبين الرضا العام للنزلاء.,AR_DAR,0.1951219512195122,MIX
atlaset_92695,"Bouanais Yousef 
للمعلومة يوجد في قطر أحد أكبر القواعد العسكرية الأمريكية في العالم ومنها كان ينطلق الطيران الحربي الأمريكي لقصف العراق وافغانستان اذن قطرك مجرد دولة وظيفية في يد أسيادها",bouanais yousef للمعلومه يوجد في قطر احد اكبر القواعد العسكريه الامريكيه في العالم ومنها كان ينطلق الطيران الحربي الامريكي لقصف العراق وافغانستان اذن قطرك مجرد دوله وظيفيه في يد اسيادها,AR_MSA,0.06666666666666667,AR_MSA
atlaset_25084,سوزان ساراندون بدور لويز,سوزان ساراندون بدور لويز,AR_MSA,0.0,AR_MSA
atlaset_69998,"فـ FPDF، الميتود `rect()` كتستخدم باش ترسم مستطيل على الصفحة. المستطيل كيتحدد بالإحداثيات `x` و `y` ديال الركن العلوي اليسار ديالو، و الأبعاد ديالو `width` و `height`.

الباراميتر `style` اختياري و كيحدد كيفاش غادي يترسم المستطيل. يمكن تحطو على 'D' باش ترسم الحدود ديال المستطيل، 'F' باش تعمر المستطيل، أو 'DF' باش ترسم الحدود و تعمر المستطيل فـ نفس الوقت.

إذن الكود `FPDF.rect(x, y, width, height, style='F')` غادي يرسم مستطيل معمر على صفحة FPDF فـ الإحداثيات `x` و `y` المحددة بالعرض `width` و الطول `height` المحددين.","ف fpdf، الميتود `rect()` كتستخدم باش ترسم مستطيل علي الصفحه. المستطيل كيتحدد بالاحداثيات `x` و `y` ديال الركن العلوي اليسار ديالو، و الابعاد ديالو `width` و `height`. الباراميتر `style` اختياري و كيحدد كيفاش غادي يترسم المستطيل. يمكن تحطو علي 'd' باش ترسم الحدود ديال المستطيل، 'f' باش تعمر المستطيل، او 'df' باش ترسم الحدود و تعمر المستطيل ف نفس الوقت. اذن الكود `fpdf.rect(x, y, width, height, style='f')` غادي يرسم مستطيل معمر علي صفحه fpdf ف الاحداثيات `x` و `y` المحدده بالعرض `width` و الطول `height` المحددين.",AR_DAR,0.23255813953488372,AR_DAR
atlaset_83901,شهد العراق واقعة وصفت بأنها سابقة فريدة لم تحدث في بلاد الرافدين من قبل. وقالت مواقع إخبارية محلية، إن سيدة عراقية أنجبت 7 توائم في محافظة ديالى، وأن الأم وأطفالها جميعا في حالة صحية جيدة. وأصدرت دائرة صحة ديالى، بيانا للإعلام بهذه المناسبة، أمس الأثنين، قالت فيه إن “سيدة ولدت اليوم في مستشفى البتول التعليمي بالمحافظة”، مبينة ان “التوائم هم ذكر واحد وست اناث”، بحسب السومرية نيوز. وأشارت الدائرة في بيانها إلى أن “الولادة كانت طبيعية بمستشفى البتول التعليمي”. ولفتت الدائرة إلى أن “الأم والأطفال بحالة صحية جيدة”، ونقلت شبكة رووداو الإعلامية، عن فارس العزاوي، مدير إعلام صحة ديالى، تصريحه بأن ما حدث هو “سابقة فريدة من نوعها على مستوى العراق”.,شهد العراق واقعه وصفت بانها سابقه فريده لم تحدث في بلاد الرافدين من قبل. وقالت مواقع اخباريه محليه، ان سيده عراقيه انجبت 7 توايم في محافظه ديالي، وان الام واطفالها جميعا في حاله صحيه جيده. واصدرت دايره صحه ديالي، بيانا للاعلام بهذه المناسبه، امس الاثنين، قالت فيه ان “سيده ولدت اليوم في مستشفي البتول التعليمي بالمحافظه”، مبينه ان “التوايم هم ذكر واحد وست اناث”، بحسب السومريه نيوز. واشارت الدايره في بيانها الي ان “الولاده كانت طبيعيه بمستشفي البتول التعليمي”. ولفتت الدايره الي ان “الام والاطفال بحاله صحيه جيده”، ونقلت شبكه رووداو الاعلاميه، عن فارس العزاوي، مدير اعلام صحه ديالي، تصريحه بان ما حدث هو “سابقه فريده من نوعها علي مستوي العراق”.,AR_MSA,0.0,AR_MSA
TRAIN_17364,أول مره در . فكري يمدحني لين يوم المدح,اول مره در . فكري يمدحني لين يوم المدح,AR_DAR,0.0,AR_MSA
mix_aug_8b008206d0f4,for real راه شدوه البوليس علي ود النصب والاحتيال.,for real راه شدوه البوليس علي ود النصب والاحتيال.,MIX,0.2222222222222222,MIX
atlaset_77626,أسماء غربي: المغربيات زوجات المشاهير طالع ليهم الجوك. فبعد الليلة الرومانسية التي قضتها المطربة المغربية دنيا بطمة مع زوجها الملياردير ومدير أعمالها محمد الترك، نشر المطرب المصري الشهير تامر حسني صورتين تجمعانه بزوجته المغربية بسمة بوسيل، معلقا عليهما بالقول “أنا وانت هنبقى حكايه الناس تحكيها في كل مكان”. وكان في وقت سابق انتشر خبر طلاق النجم تامر حسنى من بسمة بوسيل، قبل أن يخرج المطرب المصري عن صمته من خلال صفحته على موقع التواصل الاجتماعى ، وقال إنه توجد بعض الخلافات الكبيرة بينه وبين زوجته بسمة بوسيل، والتي اقتربت من الانفصال، إلا أن الأمر لم يصل إلى طلاق رسمي.,اسماء غربي: المغربيات زوجات المشاهير طالع ليهم الجوك. فبعد الليله الرومانسيه التي قضتها المطربه المغربيه دنيا بطمه مع زوجها الملياردير ومدير اعمالها محمد الترك، نشر المطرب المصري الشهير تامر حسني صورتين تجمعانه بزوجته المغربيه بسمه بوسيل، معلقا عليهما بالقول “انا وانت هنبقي حكايه الناس تحكيها في كل مكان”. وكان في وقت سابق انتشر خبر طلاق النجم تامر حسني من بسمه بوسيل، قبل ان يخرج المطرب المصري عن صمته من خلال صفحته علي موقع التواصل الاجتماعي ، وقال انه توجد بعض الخلافات الكبيره بينه وبين زوجته بسمه بوسيل، والتي اقتربت من الانفصال، الا ان الامر لم يصل الي طلاق رسمي.,AR_MSA,0.0,AR_DAR
atlaset_91023,"الفرضية: ""كلب لابس لباس عاكس كيجري فطريق قروية.""
على أساس هاد الفرضية، واش نقدرو نقولو بلي الاستنتاج ""حيوان كيجري فالخلا على طول المسار المعلم لابس قميجة مضوية."" صحيح؟
الخيارات:
- آه
- ما يمكنش نعرفو
- لا
آه","الفرضيه: ""كلب لابس لباس عاكس كيجري فطريق قرويه."" علي اساس هاد الفرضيه، واش نقدرو نقولو بلي الاستنتاج ""حيوان كيجري فالخلا علي طول المسار المعلم لابس قميجه مضويه."" صحيح؟ الخيارات: - اه - ما يمكنش نعرفو - لا اه",AR_DAR,0.0,AR_DAR
atlaset_83554,"سجل الأهداف : 
 يامال
ليفاندوفسكي 
رافينيا
بالدي 
رافينيا",سجل الاهداف : يامال ليفاندوفسكي رافينيا بالدي رافينيا,AR_MSA,0.0,AR_MSA
mix_arabizi_040e4e5131c3,wach had le commande working? ana ma3reftch,wach had le commande working? ana ma3reftch,MIX,0.3,MIX
TRAIN_17832,USER جابوها بالساين ولا بالكوزاين ؟,user جابوها بالساين ولا بالكوزاين ؟,AR_MSA,0.16666666666666666,AR_MSA
atlaset_10999,"ثبتت محكمة النقض الايطالية مساء الثلاثاء تبرئة رئيس الوزراء الايطالي الاسبق سيلفيو برلوسكوني في قضية روبيغيت في قرار نهائي لكنه لا يغلق ملف محاكماته امام القضاء. ورأت هذه الهيئة العليا الايطالية ان الحكم الذي اصدرته محكمة الاستئناف في ميلانو في يوليوز 2014 والقاضي بتبرئة برلوسكوني من كل التهم الموجهة اليه, يعتبر ساريا. وكان قد حكم في يونيو 2013 على قطب الاعلام برلوسكوني في قضية روبيغيت نسبة الى الراقصة المغربية كريمة المحروقي الملقبة “روبي سارقة القلوب” بالسجن سبع سنوات بتهمة اقامة علاقات جنسية مع قاصر لقاء مبالغ مالية واستغلال السلطة. واعتبرته المحكمة انذاك مذنبا بتهمة اقامة علاقات جنسية مع المحروقي التي كانت قاصرا في ذلك الوقت, والضغط على نيابة ميلانو للتوصل الى اطلاق سراحها بعد اقدامها على سرقة. وثبت بحسب استخلاصات قاضي المحكمة الابتدائية ان برلوسكوني اقام علاقات جنسية مع روبي حين كانت في السابعة عشرة من العمر لقاء “مبالغ مالية طائلة وهدايا اخرى” ولا سيما مجوهرات. واثر ذلك الحكم طالب مدعي عام محكمة النقض لكن بدون جدوى باحالة رئيس الحكومة الاسبق امام محكمة استئناف اخرى متهما اياه, بين تهم اخرى, بان لديه “نزوات مدمرة” حيال الشابات. وبعد تبرئته بالكامل الثلاثاء في هذه القضية التي هزت الرأي العام بعد الكشف عن السهرات الفاحشة التي كان ينظمها برلوسكوني, اصبح رئيس الحكومة الاسبق حرا في تنقلاته. وكانت تفرض عليه الاقامة الجبرية كل نهاية اسبوع منذ ايار/مايو ويرغم كل يوم الجمعة على التوجه الى مركز اجتماعي لمساعدة اشخاص مسنين, ويكون اعتبارا من نهاية الاسبوع الحالي انهى هذه العقوبة المتمثلة باعمال المنفعة العامة بتهمة الاحتيال الضريبي. وبرلوسكوني الذي لا يزال رئيسا لحزب فورتسا ايطاليا لم يعدل ابدا عن احتمال لعب دور سياسي كما اثبت اعتبارا من الاحد. وبدون انتظار قرار محكمة النقض, قرر رئيس الحكومة الاسبق تشديد لهجته حيال حكومة ماتيو رينزي. وبناء عليه امر نواب حزبه في مجلس النواب بعدم التصويت على مشروع قانون لتعديل الدستور, سبق ان تعاون فيه, بحجة الموقف “المتعجرف” لرينزي الذي دفع في اتجاه انتخاب سيرجيو ماتاريلا رئيسا لايطاليا رغم معارضة برلوسكوني. لكن مشروع الاصلاح الدستوري اقر الثلاثاء في مجلس النواب, ما يشكل مرحلة جديدة في مسيرة مؤسساتية طويلة لكن اكثر من 15 نائبا من حزب فورتسا ايطاليا نددوا علنا بالنهج السياسي لزعيمهم. وفي هذا الصدد اعتبر الخبير السياسي جيوفاني اورسينا من جامعة لويس في روما ان “رؤية برلوسكوني السياسية زالت عمليا” مع ادانته بشكل نهائي بتهمة الاحتيال الضريبي في غشت 2013. وقال لوكالة فرانس برس “كنا نعلم انه في غيبوبة سياسية, لكننا لم نكن نعرف متى سيلفظ انفاسه الاخيرة في هذا المجال. ويمكن ان تتسارع مشاكل قضائية اخرى في هذا الوقت”. لكن تبرئة برلوسكوني في قضية روبغيت لا تغلق ملفات قضائية اخرى يحاكم بها رئيس الحكومة الاسبق. فهناك اولا محاكمة جارية بتهمة دفع ثلاثة مليون يورو لعضو في مجلس الشيوخ لكي ينسحب من الائتلاف اليساري من اجل اسقاط حكومة رومانو برودي في 2008. وهناك قضية اخرى حيث يشتبه القضاء بان برلوسكوني واثنين من محاميه دفعوا اموالا الى شابتين مثلتا امام المحكمة في قضية روبيغيت للادلاء بافادات تصب في مصلحته. وكانت قد تعاقبت على المحكمة في محاكمة برلوسكوني الابتدائية مجموعة من الفتيات شاركن في سهرات فاخرة اقيمت مطلع 2010 في فيلا برلوسكوني الفاخرة في اركوري بضواحي ميلانو, وقد روين تفاصيل هذه السهرات. ووصفت معظمهن حفلات عشاء راقية وهادئة, في سرد يتعارض بشكل فاضح مع ما كشفته عمليات التنصت على هواتفهن النقالة.","ثبتت محكمه النقض الايطاليه مساء الثلاثاء تبريه رييس الوزراء الايطالي الاسبق سيلفيو برلوسكوني في قضيه روبيغيت في قرار نهايي لكنه لا يغلق ملف محاكماته امام القضاء. ورات هذه الهييه العليا الايطاليه ان الحكم الذي اصدرته محكمه الاستيناف في ميلانو في يوليوز 2014 والقاضي بتبريه برلوسكوني من كل التهم الموجهه اليه, يعتبر ساريا. وكان قد حكم في يونيو 2013 علي قطب الاعلام برلوسكوني في قضيه روبيغيت نسبه الي الراقصه المغربيه كريمه المحروقي الملقبه “روبي سارقه القلوب” بالسجن سبع سنوات بتهمه اقامه علاقات جنسيه مع قاصر لقاء مبالغ ماليه واستغلال السلطه. واعتبرته المحكمه انذاك مذنبا بتهمه اقامه علاقات جنسيه مع المحروقي التي كانت قاصرا في ذلك الوقت, والضغط علي نيابه ميلانو للتوصل الي اطلاق سراحها بعد اقدامها علي سرقه. وثبت بحسب استخلاصات قاضي المحكمه الابتداييه ان برلوسكوني اقام علاقات جنسيه مع روبي حين كانت في السابعه عشره من العمر لقاء “مبالغ ماليه طايله وهدايا اخري” ولا سيما مجوهرات. واثر ذلك الحكم طالب مدعي عام محكمه النقض لكن بدون جدوي باحاله رييس الحكومه الاسبق امام محكمه استيناف اخري متهما اياه, بين تهم اخري, بان لديه “نزوات مدمره” حيال الشابات. وبعد تبريته بالكامل الثلاثاء في هذه القضيه التي هزت الراي العام بعد الكشف عن السهرات الفاحشه التي كان ينظمها برلوسكوني, اصبح رييس الحكومه الاسبق حرا في تنقلاته. وكانت تفرض عليه الاقامه الجبريه كل نهايه اسبوع منذ ايار/مايو ويرغم كل يوم الجمعه علي التوجه الي مركز اجتماعي لمساعده اشخاص مسنين, ويكون اعتبارا من نهايه الاسبوع الحالي انهي هذه العقوبه المتمثله باعمال المنفعه العامه بتهمه الاحتيال الضريبي. وبرلوسكوني الذي لا يزال رييسا لحزب فورتسا ايطاليا لم يعدل ابدا عن احتمال لعب دور سياسي كما اثبت اعتبارا من الاحد. وبدون انتظار قرار محكمه النقض, قرر رييس الحكومه الاسبق تشديد لهجته حيال حكومه ماتيو رينزي. وبناء عليه امر نواب حزبه في مجلس النواب بعدم التصويت علي مشروع قانون لتعديل الدستور, سبق ان تعاون فيه, بحجه الموقف “المتعجرف” لرينزي الذي دفع في اتجاه انتخاب سيرجيو ماتاريلا رييسا لايطاليا رغم معارضه برلوسكوني. لكن مشروع الاصلاح الدستوري اقر الثلاثاء في مجلس النواب, ما يشكل مرحله جديده في مسيره موسساتيه طويله لكن اكثر من 15 نايبا من حزب فورتسا ايطاليا نددوا علنا بالنهج السياسي لزعيمهم. وفي هذا الصدد اعتبر الخبير السياسي جيوفاني اورسينا من جامعه لويس في روما ان “رويه برلوسكوني السياسيه زالت عمليا” مع ادانته بشكل نهايي بتهمه الاحتيال الضريبي في غشت 2013. وقال لوكاله فرانس برس “كنا نعلم انه في غيبوبه سياسيه, لكننا لم نكن نعرف متي سيلفظ انفاسه الاخيره في هذا المجال. ويمكن ان تتسارع مشاكل قضاييه اخري في هذا الوقت”. لكن تبريه برلوسكوني في قضيه روبغيت لا تغلق ملفات قضاييه اخري يحاكم بها رييس الحكومه الاسبق. فهناك اولا محاكمه جاريه بتهمه دفع ثلاثه مليون يورو لعضو في مجلس الشيوخ لكي ينسحب من الايتلاف اليساري من اجل اسقاط حكومه رومانو برودي في 2008. وهناك قضيه اخري حيث يشتبه القضاء بان برلوسكوني واثنين من محاميه دفعوا اموالا الي شابتين مثلتا امام المحكمه في قضيه روبيغيت للادلاء بافادات تصب في مصلحته. وكانت قد تعاقبت علي المحكمه في محاكمه برلوسكوني الابتداييه مجموعه من الفتيات شاركن في سهرات فاخره اقيمت مطلع 2010 في فيلا برلوسكوني الفاخره في اركوري بضواحي ميلانو, وقد روين تفاصيل هذه السهرات. ووصفت معظمهن حفلات عشاء راقيه وهاديه, في سرد يتعارض بشكل فاضح مع ما كشفته عمليات التنصت علي هواتفهن النقاله.",AR_MSA,0.0,AR_MSA
fren_7181,TRES BEAU RENDU . MA FILLE EST RAVIE,tres beau rendu . ma fille est ravie,FR,0.0,FR
atlaset_95371,"الجملة لي كاتعلق بالموضوع فالنص هي: ملكيصادق، ملكيصدق، أو مالكي صديق (/mɛlˈkɪzədɛk/؛ بالعبرية: מַלְכִּי ־ צֶדֶֿק ‬ مالكي-صديق، ""ملك البر""؛ بالأمهرية: መልከ ጼዴቅ مالكي-صديق؛ بالأرمنية: Մելքիսեդեք، ملكيصدق)، كان ملك ساليم وكاهن إيل عليون (""الله العلي"") المذكور في الفصل الرابع عشر من سفر التكوين. إذن، الجواب النهائي هو ملكيصادق، ملكيصدق، أو مالكي صديق.","الجمله لي كاتعلق بالموضوع فالنص هي: ملكيصادق، ملكيصدق، او مالكي صديق (/mɛlˈkɪzədɛk/؛ بالعبريه: מַלְכִּי ־ צֶדֶֿק ‬ مالكي-صديق، ""ملك البر""؛ بالامهريه: መልከ ጼዴቅ مالكي-صديق؛ بالارمنيه: մելքիսեդեք، ملكيصدق)، كان ملك ساليم وكاهن ايل عليون (""الله العلي"") المذكور في الفصل الرابع عشر من سفر التكوين. اذن، الجواب النهائي هو ملكيصادق، ملكيصدق، او مالكي صديق.",AR_MSA,0.019230769230769232,AR_MSA
fren_8960,Etui qui correspond parfaitement à mon Galaxy J7. Bonne qualité. La couleur est jolie.,etui qui correspond parfaitement à mon galaxy jح. bonne qualité. la couleur est jolie.,FR,0.07142857142857142,FR
mix_arabizi_cc4fd68f9fc3,wach kayna la facture dyal had le application?,wach kayna la facture dyal had le application?,MIX,0.3,MIX
atlaset_19340,الفيل ياكل الحصان ديالك فـ C6,الفيل ياكل الحصان ديالك ف cط,AR_MSA,0.16666666666666666,AR_DAR
